CustomerID,Frequency,Monetary,LastPurchaseDate,RecencyDays,Segment
15619,1,336.4,2011-11-29,10,Récent
17389,34,31833.68,2011-12-09,0,VIP
14450,3,483.25,2011-06-12,180,À réactiver
15727,7,5178.96,2011-11-23,16,Fidèle
15790,1,220.85,2011-11-29,10,Récent
13285,4,2709.12,2011-11-16,23,Récent
14570,2,218.06,2011-03-04,280,À réactiver
16574,1,451.44,2011-09-29,71,À réactiver
13832,1,52.2,2011-11-20,19,Récent
13623,5,747.78,2011-11-09,30,Fidèle
15957,1,428.89,2011-11-08,31,À réactiver
16503,4,1431.93,2011-08-25,106,À réactiver
17679,2,1992.11,2011-10-18,52,À réactiver
17420,3,598.83,2011-10-20,50,À réactiver
15447,1,155.17,2011-01-13,330,À réactiver
16386,2,317.2,2011-11-11,28,Récent
18024,2,389.78,2011-07-10,152,À réactiver
16861,2,173.76,2011-10-11,59,À réactiver
16339,1,109.95,2011-02-28,284,À réactiver
12940,2,913.54,2011-10-16,54,À réactiver
14465,3,1058.62,2011-04-07,246,À réactiver
15967,2,418.83,2011-11-16,23,Récent
14423,1,265.2,2011-05-05,218,À réactiver
18161,5,1618.69,2011-11-24,15,Fidèle
14536,1,171.8,2011-03-25,259,À réactiver
12471,30,19824.05,2011-12-07,2,VIP
12626,9,6620.48,2011-11-16,23,Fidèle
18218,2,662.08,2011-05-12,211,À réactiver
16500,6,400.86,2011-12-05,4,Fidèle
18282,2,178.05,2011-12-02,7,Récent
13261,2,944.1,2011-03-16,268,À réactiver
14148,1,157.2,2011-04-20,233,À réactiver
15100,3,876.0,2011-01-10,333,À réactiver
14075,3,942.26,2011-12-05,4,Récent
14514,3,1055.35,2011-10-09,61,À réactiver
16916,2,576.26,2011-11-16,23,Récent
15004,1,1246.32,2011-07-15,147,À réactiver
17172,1,317.76,2011-09-22,78,À réactiver
15254,1,300.36,2011-08-04,127,À réactiver
12715,1,353.86,2011-08-25,106,À réactiver
12367,1,168.9,2011-12-05,4,Récent
12611,1,1193.32,2011-10-18,52,À réactiver
15738,16,4812.42,2011-11-21,18,VIP
14377,2,617.05,2011-06-01,191,À réactiver
17837,8,1593.38,2011-10-28,42,Fidèle
17809,12,5411.91,2011-11-23,16,VIP
13601,2,693.32,2011-10-25,45,À réactiver
14289,6,911.26,2011-12-01,8,Fidèle
16791,7,1721.78,2011-11-10,29,Fidèle
15655,1,560.67,2011-04-10,243,À réactiver
15296,6,3672.86,2011-10-20,50,Fidèle
17754,5,1772.26,2011-12-09,0,Fidèle
18221,5,1041.61,2011-11-17,22,Fidèle
12393,4,1582.6,2011-09-28,72,À réactiver
13875,5,1786.79,2011-10-17,53,Fidèle
16924,3,846.75,2011-11-18,21,Récent
14420,1,387.52,2011-09-01,99,À réactiver
14997,3,546.2,2011-10-24,46,À réactiver
14837,4,1649.5,2011-09-11,89,À réactiver
13060,1,307.53,2011-03-31,253,À réactiver
14714,1,160.19,2011-11-15,24,Récent
17775,1,56.4,2011-03-30,254,À réactiver
17708,2,267.08,2011-06-05,187,À réactiver
16283,5,1570.81,2011-12-04,5,Fidèle
17783,2,283.47,2011-09-28,72,À réactiver
13483,1,140.34,2011-10-05,65,À réactiver
13207,2,250.26,2011-11-24,15,Récent
17044,1,948.48,2011-11-14,25,Récent
16680,1,183.7,2011-10-27,43,À réactiver
16224,4,1295.3,2011-10-13,57,À réactiver
17223,2,426.79,2011-02-02,310,À réactiver
15382,6,5955.71,2011-11-25,14,Fidèle
13898,1,155.93,2011-01-18,325,À réactiver
17193,7,1699.3,2011-11-04,35,Fidèle
15604,1,216.39,2011-10-18,52,À réactiver
14315,6,2481.13,2011-10-26,44,Fidèle
16828,2,128.5,2011-09-07,93,À réactiver
13188,1,114.6,2011-11-28,11,Récent
14958,3,499.68,2011-07-15,147,À réactiver
18043,3,559.51,2011-11-15,24,Récent
17712,1,522.91,2011-10-26,44,À réactiver
13508,1,110.97,2011-04-10,243,À réactiver
14944,12,5900.25,2011-11-10,29,VIP
14713,11,2666.36,2011-11-30,9,VIP
15292,1,180.94,2011-05-22,201,À réactiver
13225,7,6463.84,2011-12-06,3,Fidèle
17190,2,444.74,2011-10-12,58,À réactiver
14779,3,386.15,2011-03-04,280,À réactiver
16999,2,484.82,2011-11-16,23,Récent
17950,3,482.2,2011-09-28,72,À réactiver
16117,1,232.21,2011-06-03,189,À réactiver
16706,3,531.35,2011-11-02,37,À réactiver
15740,1,154.88,2011-10-21,49,À réactiver
16232,4,990.88,2011-10-27,43,À réactiver
15429,2,397.35,2011-11-13,26,Récent
16565,1,173.7,2010-12-10,364,À réactiver
15535,4,536.4,2011-06-19,173,À réactiver
13923,1,351.13,2011-10-17,53,À réactiver
14770,2,876.42,2011-04-21,232,À réactiver
16094,4,1078.23,2011-11-28,11,Récent
13504,1,295.93,2011-10-06,64,À réactiver
13329,2,789.0,2011-11-08,31,À réactiver
14660,2,285.74,2011-09-14,86,À réactiver
17836,1,110.21,2011-10-23,47,À réactiver
17154,1,329.34,2011-09-25,75,À réactiver
12607,1,1579.51,2011-10-10,60,À réactiver
13398,1,457.34,2011-05-31,192,À réactiver
14752,1,389.64,2011-10-27,43,À réactiver
15462,3,234.6,2011-09-06,94,À réactiver
13468,37,5704.97,2011-12-08,1,VIP
16027,6,934.62,2011-09-09,91,Fidèle
17346,15,2676.56,2011-12-06,3,VIP
16549,10,4154.64,2011-11-29,10,VIP
12694,2,869.67,2011-09-30,70,À réactiver
15070,1,106.2,2010-12-02,372,À réactiver
15026,3,469.0,2011-09-20,80,À réactiver
15146,2,1327.16,2011-06-28,164,À réactiver
16295,4,1328.55,2011-11-30,9,Récent
16985,10,5464.12,2011-11-22,17,VIP
17438,1,388.45,2011-03-31,253,À réactiver
16526,1,290.36,2011-06-21,171,À réactiver
16506,2,90.3,2011-11-20,19,Récent
13500,3,1166.77,2011-11-16,23,Récent
15594,5,1771.78,2011-11-24,15,Fidèle
14124,1,419.58,2011-09-16,84,À réactiver
16119,2,423.36,2011-12-01,8,Récent
16510,1,248.1,2010-12-02,372,À réactiver
15221,1,403.25,2010-12-08,366,À réactiver
14054,1,92.46,2011-10-05,65,À réactiver
14284,2,595.25,2011-11-09,30,Récent
13313,5,1555.32,2011-11-17,22,Fidèle
16255,8,2619.91,2011-11-23,16,Fidèle
14030,8,2360.09,2011-11-21,18,Fidèle
15827,14,1836.09,2011-09-27,73,VIP
17613,14,4559.15,2011-11-17,22,VIP
15983,4,1475.02,2011-11-17,22,Récent
12717,2,1030.98,2011-07-11,151,À réactiver
17677,30,16363.23,2011-12-08,1,VIP
14477,4,1309.6,2011-11-20,19,Récent
15584,4,725.11,2011-11-16,23,Récent
17213,7,2781.23,2011-10-30,40,Fidèle
12530,4,1662.28,2011-10-11,59,À réactiver
15781,3,345.46,2011-11-14,25,Récent
14245,2,1693.45,2011-05-04,219,À réactiver
15216,1,96.6,2011-09-13,87,À réactiver
16601,1,244.8,2011-10-30,40,À réactiver
13544,2,291.41,2011-10-31,39,À réactiver
17904,1,191.67,2011-11-18,21,Récent
16505,1,777.6,2011-11-08,31,À réactiver
16257,1,46.95,2011-06-16,176,À réactiver
12727,7,3980.7,2011-11-29,10,Fidèle
14532,4,932.85,2011-04-17,236,À réactiver
12723,5,725.07,2011-12-06,3,Fidèle
15634,1,243.55,2011-11-22,17,Récent
12757,13,7857.1,2011-11-24,15,VIP
16766,2,1145.6,2011-03-11,273,À réactiver
14760,1,89.2,2011-02-15,297,À réactiver
16954,9,2085.08,2011-12-09,0,Fidèle
17924,7,2962.5,2011-11-28,11,Fidèle
17396,8,7330.8,2011-10-31,39,Fidèle
16835,2,180.85,2011-08-03,128,À réactiver
16800,1,1201.49,2011-11-28,11,Récent
15157,3,1936.07,2011-12-06,3,Récent
17502,4,689.1,2011-11-30,9,Récent
12559,2,561.71,2011-02-02,310,À réactiver
15348,1,158.04,2011-09-28,72,À réactiver
17462,2,675.69,2011-10-10,60,À réactiver
17392,2,457.91,2011-02-06,306,À réactiver
18174,1,104.0,2011-12-02,7,Récent
16947,1,406.48,2011-04-18,235,À réactiver
12401,1,84.3,2011-02-09,303,À réactiver
12436,1,509.01,2011-09-01,99,À réactiver
12523,11,1789.77,2011-11-20,19,VIP
15270,7,2379.49,2011-11-24,15,Fidèle
17972,1,136.04,2011-04-12,241,À réactiver
15973,1,307.82,2010-12-08,366,À réactiver
15904,1,164.68,2011-12-01,8,Récent
17969,2,228.2,2011-06-26,166,À réactiver
17926,2,397.29,2011-07-29,133,À réactiver
15164,3,843.05,2011-10-02,68,À réactiver
14437,1,63.0,2010-12-09,365,À réactiver
18014,1,166.42,2011-11-11,28,Récent
16317,3,1341.65,2011-08-12,119,À réactiver
15091,1,480.71,2011-10-03,67,À réactiver
17265,2,562.9,2011-07-24,138,À réactiver
17774,4,1225.41,2011-09-04,96,À réactiver
17525,1,422.7,2010-12-15,359,À réactiver
16648,1,290.66,2011-10-28,42,À réactiver
14085,18,4448.54,2011-12-07,2,VIP
13494,1,316.26,2011-02-01,311,À réactiver
13003,3,149.05,2011-08-26,105,À réactiver
16813,10,1692.98,2011-12-01,8,VIP
13516,3,1389.41,2011-11-18,21,Récent
17554,5,1952.45,2011-12-08,1,Fidèle
15491,6,3100.09,2011-09-05,95,Fidèle
13046,2,629.31,2011-11-09,30,Récent
17430,2,265.76,2011-11-07,32,À réactiver
17639,1,108.5,2011-03-08,276,À réactiver
17253,1,178.26,2011-11-21,18,Récent
14658,2,247.15,2011-12-04,5,Récent
15658,5,1024.1,2011-06-02,190,Fidèle
13967,1,80.7,2011-07-17,145,À réactiver
15093,6,4597.02,2011-11-21,18,Fidèle
13720,4,799.9,2011-08-15,116,À réactiver
17588,3,1240.2,2011-08-31,100,À réactiver
15557,1,473.65,2011-11-11,28,Récent
15497,2,1262.2,2011-11-22,17,Récent
13994,6,2313.14,2011-12-06,3,Fidèle
16801,4,1619.73,2011-06-29,163,À réactiver
14332,3,866.31,2011-11-17,22,Récent
16968,2,439.43,2011-12-05,4,Récent
13751,1,296.25,2011-02-24,288,À réactiver
17388,4,1259.56,2011-09-23,77,À réactiver
14064,5,1353.74,2011-11-10,29,Fidèle
12384,2,585.27,2011-11-11,28,Récent
14801,1,193.14,2011-10-09,61,À réactiver
16738,1,3.75,2011-02-15,297,À réactiver
14589,1,39.75,2010-12-03,371,À réactiver
16913,1,113.44,2011-02-22,290,À réactiver
15850,2,238.85,2011-11-20,19,Récent
13368,2,623.4,2011-03-28,256,À réactiver
18030,2,230.65,2011-12-05,4,Récent
12494,7,1246.1,2011-11-24,15,Fidèle
14336,4,1614.91,2011-11-23,16,Récent
12755,2,3811.95,2011-03-04,280,À réactiver
18193,1,243.76,2011-06-27,165,À réactiver
17397,2,696.41,2011-11-17,22,Récent
16274,1,357.95,2010-12-01,373,À réactiver
16125,1,289.35,2010-12-07,367,À réactiver
17508,1,387.31,2011-03-04,280,À réactiver
12355,1,459.4,2011-05-09,214,À réactiver
18105,1,113.48,2011-11-02,37,À réactiver
12782,5,2330.92,2011-12-05,4,Fidèle
18085,2,689.95,2011-01-13,330,À réactiver
15716,4,1118.81,2011-07-17,145,À réactiver
14715,4,867.38,2011-11-15,24,Récent
13170,1,116.01,2011-11-13,26,Récent
13066,2,470.8,2011-11-15,24,Récent
15637,1,223.36,2011-10-18,52,À réactiver
17347,1,228.96,2011-09-14,86,À réactiver
12837,1,134.1,2011-06-19,173,À réactiver
12566,1,351.65,2011-09-14,86,À réactiver
12854,3,1324.5,2011-09-22,78,À réactiver
14935,1,1784.71,2011-02-15,297,À réactiver
13594,1,396.97,2011-10-18,52,À réactiver
16721,1,292.47,2011-03-22,262,À réactiver
14101,6,5976.79,2011-09-27,73,Fidèle
12362,10,5226.23,2011-12-06,3,VIP
16930,3,380.55,2011-11-13,26,Récent
17001,11,3989.57,2011-12-09,0,VIP
14410,9,1105.07,2011-09-08,92,Fidèle
15844,1,130.74,2011-10-24,46,À réactiver
15116,4,1352.75,2011-11-22,17,Récent
16189,2,215.48,2011-11-24,15,Récent
13220,4,819.29,2011-09-22,78,À réactiver
16532,3,6748.8,2011-11-22,17,Récent
14044,4,652.82,2011-11-13,26,Récent
15130,1,330.11,2011-06-23,169,À réactiver
17353,2,1740.0,2011-08-02,129,À réactiver
13782,6,912.0,2011-11-27,12,Fidèle
13960,2,230.22,2011-11-18,21,Récent
16671,3,1692.27,2011-11-11,28,Récent
14501,2,251.21,2011-06-09,183,À réactiver
13745,1,300.04,2011-06-30,162,À réactiver
14703,1,318.17,2011-11-25,14,Récent
15398,2,1345.53,2011-11-23,16,Récent
14180,25,4748.52,2011-11-29,10,VIP
13027,6,6912.0,2011-08-18,113,Fidèle
14525,9,4332.2,2011-11-20,19,Fidèle
17059,5,3095.04,2011-11-10,29,Fidèle
14555,2,324.14,2011-10-13,57,À réactiver
17678,1,298.11,2011-03-21,263,À réactiver
15795,1,610.01,2011-07-13,149,À réactiver
14554,4,2381.04,2011-11-29,10,Récent
13109,2,786.54,2011-10-11,59,À réactiver
18240,1,422.58,2011-10-24,46,À réactiver
16244,2,1522.75,2011-05-12,211,À réactiver
15840,2,355.56,2011-10-12,58,À réactiver
13904,2,332.64,2011-11-02,37,À réactiver
15060,4,303.09,2011-12-01,8,Récent
12447,1,476.49,2011-04-10,243,À réactiver
17297,1,131.78,2011-11-22,17,Récent
18071,2,453.0,2011-03-27,257,À réactiver
17647,1,133.06,2011-10-05,65,À réactiver
15253,5,918.2,2011-11-23,16,Fidèle
13726,2,1079.66,2011-11-01,38,À réactiver
14733,12,9585.91,2011-11-23,16,VIP
14367,16,9261.52,2011-12-01,8,VIP
16839,34,16594.35,2011-12-01,8,VIP
16455,7,1841.18,2011-10-07,63,Fidèle
14056,23,8214.65,2011-12-08,1,VIP
16265,9,5447.0,2011-11-30,9,Fidèle
17955,4,557.3,2011-05-25,198,À réactiver
17081,2,290.16,2011-11-14,25,Récent
15234,1,197.0,2011-03-08,276,À réactiver
17147,4,1714.59,2011-11-17,22,Récent
14776,11,2538.3,2011-10-19,51,VIP
17890,2,602.09,2011-01-21,322,À réactiver
18278,1,173.9,2011-09-27,73,À réactiver
14117,1,90.0,2011-07-19,143,À réactiver
13045,1,305.28,2011-09-01,99,À réactiver
16366,1,327.3,2011-11-21,18,Récent
15096,1,219.39,2011-10-28,42,À réactiver
14687,1,628.38,2011-08-25,106,À réactiver
15503,1,147.09,2010-12-12,362,À réactiver
14642,1,96.12,2011-10-12,58,À réactiver
12948,7,2064.95,2011-11-23,16,Fidèle
12453,1,707.09,2011-07-28,134,À réactiver
13104,6,1098.48,2011-12-06,3,Fidèle
15105,7,2298.93,2011-11-21,18,Fidèle
13166,1,417.2,2011-03-01,283,À réactiver
16053,2,1511.95,2011-11-07,32,À réactiver
12373,1,364.6,2011-02-01,311,À réactiver
14177,4,559.41,2011-09-14,86,À réactiver
14141,4,915.13,2011-12-07,2,Récent
12885,3,1175.22,2011-10-07,63,À réactiver
16043,4,773.99,2011-11-02,37,À réactiver
15923,1,127.08,2010-12-02,372,À réactiver
12913,5,2483.63,2011-12-05,4,Fidèle
15733,1,162.3,2011-03-02,282,À réactiver
14647,1,243.22,2011-05-22,201,À réactiver
17542,1,170.75,2011-03-15,269,À réactiver
13873,3,389.6,2011-08-12,119,À réactiver
12548,1,95.2,2011-06-26,166,À réactiver
15531,2,2007.44,2011-12-01,8,Récent
16684,28,66653.56,2011-12-05,4,VIP
15062,4,987.86,2011-09-29,71,À réactiver
16012,3,1415.29,2011-11-04,35,À réactiver
15024,10,1661.33,2011-11-30,9,VIP
13139,7,5064.94,2011-11-23,16,Fidèle
14419,6,1058.06,2011-11-29,10,Fidèle
15219,1,305.75,2011-06-16,176,À réactiver
15260,7,1810.77,2011-08-31,100,Fidèle
15855,5,712.24,2011-07-26,136,Fidèle
16774,4,661.52,2011-10-03,67,À réactiver
16175,4,1037.59,2011-09-06,94,À réactiver
17148,1,124.88,2011-10-19,51,À réactiver
15332,4,1661.06,2010-12-08,366,À réactiver
17463,5,1896.41,2011-11-23,16,Fidèle
14496,2,538.81,2011-02-01,311,À réactiver
18248,2,804.02,2011-08-09,122,À réactiver
18113,1,76.32,2010-12-06,368,À réactiver
15262,1,178.95,2011-01-20,323,À réactiver
13052,1,348.15,2011-05-11,212,À réactiver
12725,1,427.8,2010-12-03,371,À réactiver
17070,1,312.14,2011-08-17,114,À réactiver
15426,5,1447.39,2011-11-20,19,Fidèle
12582,2,511.36,2011-04-15,238,À réactiver
14062,12,10464.85,2011-11-30,9,VIP
16553,12,5719.82,2011-06-29,163,VIP
17637,2,547.06,2011-11-08,31,À réactiver
12705,9,6868.29,2011-11-24,15,Fidèle
16834,1,413.46,2011-04-26,227,À réactiver
16326,14,3110.96,2011-12-04,5,VIP
12868,6,1607.06,2011-06-07,185,Fidèle
16885,3,471.51,2011-11-24,15,Récent
15132,5,977.93,2011-11-21,18,Fidèle
15073,3,1043.41,2011-11-30,9,Récent
13946,3,561.57,2011-09-21,79,À réactiver
18096,3,911.15,2011-11-28,11,Récent
18147,2,179.34,2011-10-25,45,À réactiver
13523,5,3964.88,2011-11-06,33,Fidèle
15370,7,2386.05,2011-10-30,40,Fidèle
17737,2,168.24,2011-11-30,9,Récent
12597,4,3811.22,2011-11-20,19,Récent
17244,1,954.9,2011-10-17,53,À réactiver
13301,4,618.09,2011-08-28,103,À réactiver
15071,2,982.07,2011-09-07,93,À réactiver
17709,1,137.45,2011-06-23,169,À réactiver
16178,1,197.9,2011-07-24,138,À réactiver
12865,2,1568.23,2011-11-13,26,Récent
15263,1,156.51,2011-08-25,106,À réactiver
12601,5,577.06,2011-06-03,189,Fidèle
16056,1,664.85,2011-10-25,45,À réactiver
14644,2,830.76,2011-10-03,67,À réactiver
13081,11,28337.38,2011-11-28,11,VIP
13040,2,676.99,2011-12-01,8,Récent
15906,7,1567.69,2011-11-20,19,Fidèle
15841,4,1224.06,2011-09-28,72,À réactiver
17014,3,586.33,2011-12-01,8,Récent
16015,3,705.39,2011-12-06,3,Récent
17549,2,148.86,2011-11-16,23,Récent
14140,2,935.05,2011-12-06,3,Récent
14720,3,663.81,2011-12-04,5,Récent
17312,3,644.3,2011-07-24,138,À réactiver
17584,2,1242.3,2011-12-02,7,Récent
