CustomerID,Country,Revenue,Orders,Average line amount
14646,Netherlands,280206.02,73,134.97
18102,United Kingdom,259657.3,60,602.45
17450,United Kingdom,194550.79,46,577.3
16446,United Kingdom,168472.5,2,56157.5
14911,EIRE,143825.06,201,25.34
12415,Australia,124914.53,21,174.95
14156,EIRE,117379.63,55,83.84
17511,United Kingdom,91062.38,31,94.56
16029,United Kingdom,81024.84,63,334.81
12346,United Kingdom,77183.6,1,77183.6
16684,United Kingdom,66653.56,28,240.63
14096,United Kingdom,65164.79,17,12.75
13694,United Kingdom,65039.62,50,114.51
15311,United Kingdom,60767.9,91,25.54
13089,United Kingdom,58825.83,97,32.36
17949,United Kingdom,58510.48,45,835.86
15769,United Kingdom,56252.72,26,432.71
15061,United Kingdom,54534.14,48,135.32
14298,United Kingdom,51527.3,44,31.48
14088,United Kingdom,50491.81,13,85.72
15749,United Kingdom,44534.3,3,4453.43
12931,United Kingdom,42055.96,15,512.88
17841,United Kingdom,40991.57,124,5.22
15098,United Kingdom,39916.5,3,13305.5
13798,United Kingdom,37153.85,57,106.46
16013,United Kingdom,37130.6,47,267.13
16422,United Kingdom,34684.4,51,94.0
12748,United Kingdom,33719.73,209,7.34
15838,United Kingdom,33643.08,19,201.46
17404,Sweden,31906.82,15,161.15
17389,United Kingdom,31833.68,34,149.45
13098,United Kingdom,28882.44,28,50.49
14680,United Kingdom,28754.11,16,111.45
13081,United Kingdom,28337.38,11,27.67
13408,United Kingdom,28117.04,62,58.82
17857,United Kingdom,26879.04,23,497.76
16333,United Kingdom,26626.8,22,591.71
13777,United Kingdom,25977.16,33,131.86
12753,Japan,21429.39,6,108.78
12744,Singapore,21279.29,7,95.85
16210,United Kingdom,21086.3,18,171.43
17675,United Kingdom,20374.28,31,28.9
17381,United Kingdom,20275.61,29,186.01
15039,United Kingdom,19914.44,47,13.26
12471,Germany,19824.05,30,43.1
12731,France,18895.91,12,68.96
15159,United Kingdom,18641.01,30,26.25
